rank,img_src,img_title,mx4d,dolby,atmos,mega_only,summary,score,title,booking_rate,release_date,like
144위,https://img.megabox.co.kr/SharedImg/2025/10/31/zMQCtLtO2ZxkZ1GsrgzVa0YvKzHNN93H_420.jpg,척의 일생,0,0,0,1,"인터넷은 끊기고, 도로 곳곳은 구멍이 뚫려 마비된 세상.
마치 지구의 마지막 날이 다가오는 것만 같은 나날들의 연속이다.

교사 '마티'는 온 세상이 언제 어둠에 갇혀도 이상할리 없는 지금,
이혼했지만 사랑이 남은 ‘펠리샤’를 만나기 위해 길을 나선다.

그런데 이 절박한 시간에도 거리에서, TV에서, 라디오에서 끊임없이 나오는 누군가를 위한 광고.

""39년 동안의 근사했던 시간, 고마웠어요 척!""

하지만 주변의 그 누구도 알거나 본 적이 없다는 이 '척'이라는 남자는 마티에게 커다란 궁금증을 남긴다.

그는 누구일까?
세상은 정말 사라져만 가는 것일까?",0점,척의 일생,예매율 0%,개봉일 2025.12,48
145위,https://img.megabox.co.kr/SharedImg/2025/11/20/I1FeIimWl3sgpQ3miyQjb4gLpvgl9R6J_420.jpg,프리즘 오브 그레이 락,0,0,0,1,"‘돌처럼 굳어 있던 마음, 그 틈에 스며든 빛을 마주할 용기를 향해서’

이혼 후 딸과 떨어져 지내는 학교 상담교사 ‘도아’.
그녀는 상처받지 않기 위해 감정을 닫고, 무감각한 회색 바위처럼 스스로를 지켜왔다.
하지만 그 단단한 껍질 안에는 어린 시절의 깊은 트라우마가 숨쉬고 있다.

표현예술치료를 통해 자신을 ‘회색 바위’라 말하는 도아는
오랫동안 외면해온 내면의 상처와 마주하기 시작하는데,,,",0점,프리즘 오브 그레이 락,예매율 0%,개봉일 2025.12,3
146위,https://img.megabox.co.kr/SharedImg/2025/11/17/ikV8kqThVai8G897Sk7mnO4LDV9YI1Yj_420.jpg,하나 그리고 둘,0,0,0,1,"타이베이를 살아가는 한 가족의 이야기이자,
삶의 가장 중요한 지점을 지나고 있는 당신의 이야기.

궁금한 것이 많은 양양은 아빠 NJ에게 카메라를 선물 받는다.
할머니의 사고에 대한 죄책감과 동시에 친구의 남자친구를 사랑하기 시작한 누나 팅팅.
할머니가 쓰러지고 가정과 일에 치여 삶에 무력감을 느끼는 엄마 민민.
그리고 사업과 가족의 위기 속에 30년 전 첫사랑을 다시 만나게 된 아빠 NJ.

보이는 것을 좇아 사진을 찍던 양양은 사람들의 뒷모습을 촬영하기 시작한다",0점,하나 그리고 둘,예매율 0%,개봉일 2025.12.31,44
147위,https://img.megabox.co.kr/SharedImg/2025/11/25/QEEnc86gcQ06S9JLSIquCLvVorbxxwrq_420.jpg,화양연화 특별판,0,0,0,1,"25년 마지막을 장식할 25주년 기념
완벽한 화양연화를 만나다

1962년, 같은 날 같은 아파트로 이사 온 ‘첸 부인’과 ‘차우’.
이사 첫날부터 자주 마주치던 두 사람은
‘차우’의 넥타이와 ‘첸 부인’의 가방이
각자 배우자의 것과 똑같음을 깨닫고 그들의 관계를 눈치챈다.

그 관계의 시작이 궁금해진 두 사람은
비밀스러운 만남을 이어가다, 점점 빠져들고 만다.
안타까운 마음에도 불구하고 사랑하지 않겠다는 약속을 지키기 위해
그들은 결국 이별을 선택하게 된다.

그리고 2001년, 다른 모습으로 재회하게 된 두 사람은
다시 한번 서로를 마주보게 된다.",0점,화양연화 특별판,예매율 0%,개봉일 2025.12.31,122
148위,https://img.megabox.co.kr/SharedImg/2025/11/17/e751A2PMhJlCTr5uekUIoZ9AJlF5twq6_420.jpg,스폰지밥 무비: 네모바지를 찾아서,0,0,0,1,"비키니시티에 사는 스폰지밥은 무시무시한 롤러코스터를 탈 수 있는 용감한 ‘빅 가이’가 꿈이다.

그러던 어느 날, 미지의 세계 ‘언더월드’에 사는 유령선장을 만나 ‘용감무쌍짱 증명서’를 받으면
진정한 ‘빅 가이’가 될 수 있다는 말을 들은 스폰지밥은 절친 뚱이와 함께 해적선을 찾아 위험천만한 모험을 떠난다.

그 사실을 안 집게사장과 징징이, 핑핑이는 스폰지밥을 구하기 위해 따라나서는데…",0점,스폰지밥 무비: 네모바지를 찾아서,예매율 0%,개봉일 2026.01.01,185
149위,https://img.megabox.co.kr/SharedImg/2025/11/20/QrLgK75zTzO9bZehTlQLDRViW115sr1i_420.jpg,톰과 제리: 황금나침반 대소동,0,0,0,1,"세기의 콤비 톰과 제리, 최초 3D 탄생!
마법의 나침반을 깨운 톰과 제리의 차원이동이 시작된다!

박물관 경비원으로 일하는 톰은 몰래 들어온 제리를 쫓다
우연히 마법의 황금나침반을 깨우게 되고, 신비로운 빛에 휩싸여 동양의 한 고대도시에 불시착한다
뜻밖의 차원이동을 하게 된 톰과 제리는
300년 동안 고대도시를 지켜온 봉황사부와 그의 친구들을 만나 기상천외한 모험을 시작하는데…!

황금나침반을 이용해 천계로 돌아가야 하는 봉황사부와
톰과 제리의 시공을 초월한 모험이 펼쳐진다!",0점,톰과 제리: 황금나침반 대소동,예매율 0%,개봉일 2026.01.01,79
150위,https://img.megabox.co.kr/SharedImg/2025/11/12/ShuWZyCXgL7z3qcO6BYWDfHCG8dtcCA1_420.jpg,피렌체,0,0,0,1,"마음을 두드리는 여행의 시작

권고사직과 무기력에 시달리며 삶의 방향을 잃은 석인은 젊은 시절 자신의 열정이 숨쉬던 이탈리아 피렌체로 떠난다. 그곳에서 오랜 인연의 유정과 재회하고, 과거 자신이 버리고 떠난 기억과 감정을 마주한다. 도시의 빛과 그림자 속에서 피렌체의 시간은 다시 삶을 살아 볼 수 있게 하는, 작은 용기를 조용히 건넨다.",0점,피렌체,예매율 0%,개봉일 2026.01.07,41
151위,https://img.megabox.co.kr/SharedImg/2025/11/25/7CyMvCJxeDK45e0YYHAY7JlenQKrRtis_420.jpg,튜즈데이,0,0,0,1,"불치병으로 죽음이 다가오는 것을 직감한 10대 소녀 ‘튜즈데이’.
사랑하는 딸과 헤어질 준비를 하지 못한 채 현실을 부정하며 살아가는 엄마 ‘조라’.
어느 날, ‘튜즈데이’ 앞에 모든 죽어가는 존재의
마지막 순간을 배웅하는 앵무새 ‘죽음’이 나타나지만,
엄마 ‘조라’의 강력한 거부로 예상치 못한 일이 벌어지는데…

A24 X BBC FILM이 선사하는 독특한 휴먼 감동 판타지",0점,튜즈데이,예매율 0%,개봉일 2026.01.14,5
152위,https://img.megabox.co.kr/SharedImg/2025/11/10/oloWUUYy9rbJwRkUthMqO5JdOejmIC5U_420.jpg,1026: 새로운 세상을 위한,0,0,0,1,"이 영화는 10.26 당시의 언론 보도와 전두환 합동수사본부의 거짓 발표 장면으로 시작해 박정희와 김재규의 성장 배경 등을 비교해보고, 두 사람이 얽힌 33년간의 인연을 추적해간다. 

1969년 김재규가 보안사령관 시절 국회의원 장준하와 처음 만나 나누는 이야기를 통해 김재규와 박정희가 처음 만났던 조선경비대 시절부터, 

이승만 정부 계엄 아래의 비극들, 6.25 및 5.16 당시의 두 사람 이력 등을 역사적 팩트와 더불어 교차 순행시킨다. 

이후 김재규는 박정희가 대통령을 한 번만 더하고 물러나겠다는 약속을 믿고 그를 계속 보좌하지만, 1972년 박정희의 10월 유신과 종신 집권 야욕을 알게 되자 큰 배신감을 느끼며 분개한다. 

그럼에도 박정희와 인연을 끊을 수 없던 김재규는 중정차장, 건설부 장관 등을 역임하면서 육영수, 장준하의 죽음, 긴급조치 9호까지 치닫는 정국 악화에 안타까워한다. 

그러다 1979년 김영삼 총재 당선부터 김영삼 제명, 부마 민주항쟁까지 이르는 극도의 정치적 혼란 상황 속에서 시민들에게 발포 명령까지 내리겠다는 박정희를 보고 몸서리를 치는데....",0점,1026: 새로운 세상을 위한,예매율 0%,개봉일 2026.01,3
153위,https://img.megabox.co.kr/SharedImg/2025/11/20/DFo8BpIXpSnt9Fen7epbxIGR4iXbnYoP_420.jpg,리틀 아멜리,0,0,0,1,"일본의 작은 산마을에서
태어난 소녀 ‘아멜리’

스스로를 세상의 중심이라 여기는
‘아멜리’는 유모 ‘니시오’와 함께
사계절을 보내며 새로운 세계를 만난다

‘니시오’와의 행복한 우정을 나누던
‘아멜리’는 세 번째 생일날
예기치 못한 변화를 마주하는데…

자신을 ‘신’이라 믿는
엉뚱 발랄 세 살 소녀의
오색찬란 성장 판타지!",0점,리틀 아멜리,예매율 0%,개봉일 2026.01,17
154위,https://img.megabox.co.kr/SharedImg/2025/11/26/6tAiMzbHCFRIda2pnPZxeJh7lzX2AaIB_420.jpg,부흥,0,0,0,1,"세계대전을 뒤집는 탱크전 실화.

부흥은 하나님이 생명을 살리시는 방법이며, 기독교 신앙은 곧 부흥의 역사이다.
한반도의 1903년 원산과 1907년 평양, 미국 LA 아주사 거리, 영국 웨일즈 탄광, 인도 국경의 카시랜드와 펀잡에서
120년 전, 20세기를 뒤흔든 세계적 부흥은 그렇게 시작되었다.

영화 〈부흥〉은 이 역사의 흐름을 따라 2년 7개월 동안 5개 대륙 70개 도시를 기록한 초대형 다큐멘터리다.
카메라는 과거의 부흥을 넘어서 21세기 지금 이 순간 벌어지고 있는 살아 있는 부흥의 현장을 직접 포착한다.
네팔의 산지에서, 북한의 지하교회에서, 브라질의 거리에서, 인도 델리의 시장 한복판에서…
예수 그리스도는 지금도 살아계시고, 부흥은 멈추지 않았다.

그리고 하나님은 오늘도 한 사람을 찾고 계신다.
ONE SOUL. 부흥을 일으킬 단 한 사람. 바로 당신이다.",0점,부흥,예매율 0%,개봉일 2026.01,1
155위,https://img.megabox.co.kr/SharedImg/2025/11/18/KZt09dcotLHaM0Nocg76j1RQ0WBiiyEB_420.jpg,시라트,0,0,0,1,"광활한 사막 한가운데에서 펼쳐지는 레이브 파티
그곳에서 루이스는 아들 에스테반과 함께 실종된 딸을 찾아 헤맨다
하지만 곧 그 길은 신의 심판대로 이어지는데...

전례 없는 충격의 논쟁작
이 영화를 감당할 수 있는가",0점,시라트,예매율 0%,개봉일 2026.01,24
156위,https://img.megabox.co.kr/SharedImg/2025/10/27/DTiGJQmWOSwtdi219VWYz5WdY4AxjQWD_420.jpg,프라이메이트,0,0,0,1,,0점,프라이메이트,예매율 0%,개봉일 2026.01,24
157위,https://img.megabox.co.kr/SharedImg/2025/09/17/KS1VpU37hV92MiYyT4T9U24ydRAR26eY_420.jpg,폭풍의 언덕,0,0,0,1,,0점,폭풍의 언덕,예매율 0%,개봉일 2026.02.13,246
158위,https://img.megabox.co.kr/SharedImg/2025/11/13/3MY1ZQGR8ScCUD8ghQtdazZ4zaV536Sh_420.jpg,"초혼, 우리들의 노래",0,0,0,1,"다시, 뜨겁게
초혼, 우리들의 노래
1992년, 대학 민중가요 노래패 '들꽃소리’ 동아리 부원인 민영은 사상연구동아리 ‘깃발’과 연합해
6개월째 임금을 받지 못한 삼형공업 노동자들의 생존권이 걸린 파업 시위에 동참하게 된다.

파업 당일, 급습한 경찰들의 폭력 진압으로 노동자들과 노래패 동아리 부원들이 크게 다치고 끌려간다.
학우들을 구출하러 온 학생들이 대오를 결성해 저지선을 뚫고,
급기야 이 과정이 뉴스에 중계되어 몰려든 시민들과 경찰들이 대치한 대충돌의 상황!
무언가에 이끌린 듯 무대 위로 올라간 민영이 소리친다.

""우리는 폭도가 아니에요""
마침내, 하나되어 외치는 뜨거운 함성이 온 세상에 울려 퍼진다.

산 자여 따르라, 그날은 온다!",0점,"초혼, 우리들의 노래",예매율 0%,개봉일 2026.02,2
159위,https://img.megabox.co.kr/SharedImg/2025/11/11/Tu5oaNP4TnJYnMTVimNeuHySdHRg3mJo_420.jpg,내 곁에 온 걸 환영해,0,0,0,1,"실연 후 당한 불의의 사고로 매일 노란 오리가 보이는 
환영에 시달리는 평범한 마케터 ‘천샤오저우‘.

머리부터 발끝까지 세상 완벽한 외모로
많은 사랑을 받고 있는 인기 미식 크리에이터 ‘펑자난‘.

촬영장에서 우연히 부딪친 
두 사람의 첫 만남은 엉망진창이었지만,
점차 서로의 세상에 다가가면서
말할 수 없는 감정을 느끼기 시작하는데…

‘예측 불가, 설렘 가득’ 컬러 로맨스가 시작된다!",0점,내 곁에 온 걸 환영해,예매율 0%,개봉일 2026.03,21
160위,/static/pc/images/common/bg/bg-noimage-notmain.png,슈퍼 마리오 갤럭시,0,0,0,1,뉴욕의 평범한 배관공에서 ‘슈퍼 마리오’로 레벨업한 ‘마리오’와 그의 동생 ‘루이지’가 더욱 거대해진 미션을 해결하기 위해 우주를 비롯한 다채로운 세계로 떠나는 어드벤처,0점,슈퍼 마리오 갤럭시,예매율 0%,개봉일 2026.04.29,84
161위,https://img.megabox.co.kr/SharedImg/2025/11/17/wWhHUKLJEe6GY1D0E3uQ4M9EF1soAxWY_420.jpg,마이클,0,0,0,1,,0점,마이클,예매율 0%,개봉일 2026.05.13,93
